"name","address","phone","website","image","tags"
"Jack's 28 Club","498 Main Street (Route 28), Dennis Port, MA 02639","5083989044","","http://s3-media1.fl.yelpcdn.com/bphoto/QPBYsDTq62sQoIkyg88SCw/ms.jpg","Bars,bars"
"Duck Creek Tavern","70 W Main St, Wellfleet, MA 02667","5083497369","",,"American (New),newamerican,Pubs,pubs"
"Saki","258 Commercial St, Ste 4, Provincetown, MA 02657","5084874870","","http://s3-media1.fl.yelpcdn.com/bphoto/4zA-pW5mpxrJCJUc9XROew/ms.jpg","Sushi Bars,sushi,Asian Fusion,asianfusion"
"Local 186","186 Commercial St, Provincetown, MA 02657","5084877555","local186.com","http://s3-media1.fl.yelpcdn.com/bphoto/PxPqx_zfRwDUSM6RgcMtHg/ms.jpg","American (New),newamerican,Burgers,burgers"
"Thoreau's","2171 Hwy 28, Harwich, MA 02645",,"","http://s3-media4.fl.yelpcdn.com/bphoto/06kVaft3uR8xtpBFKPWdXQ/ms.jpg","Bars,bars,American (New),newamerican,American (Traditional),tradamerican"
"Sesuit Harbor Cafe","357 Sesuit Neck Rd, Dennis, MA 02638","5083856134","sesuitharbor-cafe.com","http://s3-media2.fl.yelpcdn.com/bphoto/YJGi27CwnPpY0DEiyG_Q5A/ms.jpg","Seafood,seafood"
"Burger Queen","331 Commercial St, Provincetown, MA 02657","5084874749","","http://s3-media4.fl.yelpcdn.com/bphoto/mfPuwTCt9Mla6kLnvub7FA/ms.jpg","Burgers,burgers,American (Traditional),tradamerican"
"Seafood Grille","386 Commercial St, Provincetown, MA 02657",,"","http://s3-media1.fl.yelpcdn.com/bphoto/y1uUnFppM_AJLWOEvDBROA/ms.jpg","Seafood,seafood"
"Red Nun Bar & Grill","746 Main St, Chatham, MA 02633","5083480469","rednun.com","http://s3-media3.fl.yelpcdn.com/bphoto/n8Qjg6orXwoEubX6Q5W8gg/ms.jpg","American (Traditional),tradamerican,Bars,bars"
"Seaside Pub On Main","615 Main St, Hyannis, MA 02601","5088154517","seasidepub.com","http://s3-media3.fl.yelpcdn.com/bphoto/d25sBuMwicZLmbACkyE0rA/ms.jpg","Pubs,pubs,American (Traditional),tradamerican,Seafood,seafood"
"Brewster Fish House","2208 Main St, Brewster, MA 02631","5088967867","brewsterfishhouse.com","http://s3-media4.fl.yelpcdn.com/bphoto/wtadYG_2NR0ZWMuom-W9uQ/ms.jpg","Seafood,seafood"
"Captain Parker's Pub","668 Rt 28, West Yarmouth, MA 02673","5087714266","captainparkers.com","http://s3-media4.fl.yelpcdn.com/bphoto/uL5zOpxzuUUO1FfVwQzJjw/ms.jpg","Pubs,pubs,Seafood,seafood"
"The Sand Bar","4 Lighthouse Rd., West Dennis, MA 02670","5083982244","","http://s3-media4.fl.yelpcdn.com/bphoto/9ajXOckLWhezo976iJw2Xw/ms.jpg","American (New),newamerican,Bars,bars"
"Joe's Barley Neck Inn","5 Beach Rd, Orleans, MA 02653","5082403058","barleyneck.com","http://s3-media3.fl.yelpcdn.com/bphoto/X-Dm1jr2YtmSYjNVoEV9yA/ms.jpg","Seafood,seafood,Bars,bars,American (New),newamerican"
"Harvest Gallery Wine Bar","766 Main Street, Dennis, MA 02638","5083852444","harvestgallerywinebar.com","http://s3-media4.fl.yelpcdn.com/bphoto/YKiiuXEY1oOJqjzltxBapQ/ms.jpg","Wine Bars,wine_bars"
"Governor Bradford Restaurant","312 Commercial St, Provincetown, MA 02657","5084872781","","http://s3-media4.fl.yelpcdn.com/bphoto/4_hbi8aWlnDIoNrOHswwdg/ms.jpg","Restaurants,restaurants,Bars,bars,Karaoke,karaoke"
"Bonkerz Party Zone","657 Rt 28, West Yarmouth, MA 02673","5087751010","bonkerzpartyzone.com","http://s3-media1.fl.yelpcdn.com/bphoto/1PgjqWHumy32COaYv0VFkQ/ms.jpg","Venues & Event Spaces,venues"
"Tinys","336 Commercial St, Provincetown, MA 02657","5084139582","tinyslocalfood.com","http://s3-media2.fl.yelpcdn.com/bphoto/frJoI4IuQQRySMEKv_Ztrg/ms.jpg","American (New),newamerican"
"Maguro","Chatham Bars Inn, 297 Shore Road, Chatham, MA 02633","5089450096","chathambarsinn.com",,"Japanese,japanese"
"Beachcomber of Wellfleet","1120 Cahoon Hollow Rd, Wellfleet, MA 02667","5083496055","thebeachcomber.com","http://s3-media1.fl.yelpcdn.com/bphoto/yjzLJXCOs2Z6lImlRL8YlQ/ms.jpg","Seafood,seafood,Bars,bars,American (Traditional),tradamerican"
"JD's Wood Fired Pizza","258 Commercial St, Provincetown, MA 02657",,"","http://s3-media4.fl.yelpcdn.com/bphoto/aXTXkbHDJtLjyXAhPDpmAA/ms.jpg","Pizza,pizza"
"Elks-Orleans-Eastham Lodge 2572","10 McKoy Rd, Eastham, MA 02642","5082554258","",,""
"The Little Store","227 Commercial St, Provincetown, MA 02657","5084870208","","http://s3-media2.fl.yelpcdn.com/bphoto/IqSWAyVYfuAVqdt1-21KNw/ms.jpg",""
"The Wicked Tavern","70 Main St, Wellfleet, MA 02667","5083493445","thewickedo.com","http://s3-media2.fl.yelpcdn.com/bphoto/QjDhgINl3RKlvfoELH7MKA/ms.jpg","Bars,bars"
"Ring Bros Marketplace","485 Rt 134, South Dennis, MA 02660","5083942244","ringbrosmarketplace.com","http://s3-media2.fl.yelpcdn.com/bphoto/jnRKl7rk6qdyEj7w7vZo4A/ms.jpg","Beer, Wine & Spirits,beer_and_wine,Grocery,grocery,Fruits & Veggies,markets"
"Aqua Bar","207 Commercial St, Provincetown, MA 02657","5084871580","","http://s3-media3.fl.yelpcdn.com/bphoto/Kc_xyJFH7NAqbKyUpfZnaw/ms.jpg","Bars,bars,American (New),newamerican"
"The Underground Bar","293 Commercial St, Provincetown, MA 02657","5084139648","","http://s3-media2.fl.yelpcdn.com/bphoto/tyGX8hbm2_skPvAgsO-MDA/ms.jpg","Bars,bars"
"Bay State Cruise Co","MacMillan Whf, Provincetown, MA 02657","5084879284","","http://s3-media2.fl.yelpcdn.com/bphoto/ukm6Xc5D0OkR3hE_AdkWKQ/ms.jpg",""
"The Art House","214 Commercial St, Provincetown, MA 02657","5084879222","ptownarthouse.com","http://s3-media2.fl.yelpcdn.com/bphoto/1Vx8liKUC7UZ1sab2A0r9g/ms.jpg","Performing Arts,theater"
"The Monkey Bar","149 Commercial St, Provincetown, MA 02657","5084872879","","http://s3-media4.fl.yelpcdn.com/bphoto/24vsaEhxb9Ao5cvbacVvvQ/ms.jpg","Gay Bars,gaybars"
"Jump On US","260 Route 6A, Yarmouth Port, MA 02675","5087753304","",,""
"Spiritus Pizza","190 Commercial St, Provincetown, MA 02657","5084872808","spirituspizza.com","http://s3-media1.fl.yelpcdn.com/bphoto/pb1Q9iTpnDQsnE_qskbMUg/ms.jpg","Pizza,pizza,Ice Cream & Frozen Yogurt,icecream"
"Harbor Lounge","359 Commercial St, Provincetown, MA 02657","5084139527","","http://s3-media4.fl.yelpcdn.com/bphoto/S8kSKoYT3NpMO3E7jhUiFA/ms.jpg","Lounges,lounges"
"Orleans Bowling Center","191 Route 6A, Orleans, MA 02653","5082550636","orleansbowlingcenter.com","http://s3-media4.fl.yelpcdn.com/bphoto/A-bnhvb9puan383c0fAAvA/ms.jpg","Bowling,bowling,Bars,bars,Arcades,arcades"
"The Pointe Restaurant","82 Bradford St, Provincetown, MA 02657","5084872365","provincetown-restaurant.com","http://s3-media3.fl.yelpcdn.com/bphoto/NupXaSfyzrfJHTCd1CS72A/ms.jpg","American (New),newamerican,Seafood,seafood,Wine Bars,wine_bars"
"Shipwreck Lounge at Brass Key","67 Bradford St, Provincetown, MA 02657","5084879005","ptownlounge.com","http://s3-media4.fl.yelpcdn.com/bphoto/cfMWXUvSLatplqoEeCTd7w/ms.jpg","Wine Bars,wine_bars,Gay Bars,gaybars"
"Mixers Cocktails","117 Commercial St, Provincetown, MA 02657","5084876566","",,"Lounges,lounges"
"Squealing Pig","335 Commercial St, Provincetown, MA 02657","5084875804","squealingpigptown.com","http://s3-media1.fl.yelpcdn.com/bphoto/YBJ0E_UzMAxGsQjKDZMP6A/ms.jpg","American (Traditional),tradamerican,Irish Pub,irish_pubs"
"Cape Cod Beachcomber","2759 Main St, Brewster, MA 02631","5088963322","",,""
"Old Colony Tap Inc","323 Commercial St, Provincetown, MA 02657","5084872361","","http://s3-media1.fl.yelpcdn.com/bphoto/MUXyXl6oobr-CRhUZuxhjA/ms.jpg","Restaurants,restaurants,Dive Bars,divebars"
"Eastham Superette","RR 6, Eastham, MA 02642","5082550530","",,"Beer, Wine & Spirits,beer_and_wine"
"Wellfleet Cinemas","51 State Hwy, Rte 6, Wellfleet, MA 02667","5083497176","wellfleetcinemas.com",,"Cinema,movietheaters"
"Local Break","4550 State Hwy, Eastham, MA 02642","5082556100","local-break.com","http://s3-media2.fl.yelpcdn.com/bphoto/F3GCJd0kLhNE7z2tTVmN_g/ms.jpg","American (New),newamerican,Bars,bars"
"Blackfish","17 Truro Center Rd, Truro, MA 02666","5083493399","","http://s3-media4.fl.yelpcdn.com/bphoto/D_0P31QUzdvR7U1JD0ydsA/ms.jpg","American (New),newamerican"
"Sage Inn & Lounge","336 Commercial St, Provincetown, MA 02657","5084876424","sageinnptown.com","http://s3-media4.fl.yelpcdn.com/bphoto/7psFkAvSICY3uWzDNHvkJw/ms.jpg","Hotels,hotels,Lounges,lounges"
"The Woodshed Lounge","1993 Main St, Brewster, MA 02631","5088967771","","http://s3-media4.fl.yelpcdn.com/bphoto/g5anLsWIJLpxbFalmR3XgA/ms.jpg","Bars,bars"
"Patio American Grill & Cocktail Bar","328 Commercial St, Provincetown, MA 02657","5084874003","ptownpatio.com",,"American (Traditional),tradamerican"
"Mac's Shack","91 Commercial St, Wellfleet, MA 02667","5083496333","macsseafood.com/macs_shack.asp","http://s3-media2.fl.yelpcdn.com/bphoto/3oDsPajvzf3YGLu58abNjg/ms.jpg","Sushi Bars,sushi,Seafood,seafood"
"Mayflower Cafe","300 Commercial St, Provincetown, MA 02657","5084870121","mayflower-ptown.com","http://s3-media2.fl.yelpcdn.com/bphoto/X98w8kM4eQsXiRrbTvQX9Q/ms.jpg","American (New),newamerican"
"Euro Island Grill & Cafe","258 Commercial St, Provincetown, MA 02657","5084872505","",,"American (Traditional),tradamerican"
"Kook","Enzo Restaurant, 186 Commercial St, Provincetown, MA 02657","5084877555","",,"Nightlife,nightlife"
"Nor'East Beer Garden","206 Commercial St, Provincetown, MA 02657","5084872337","noreastbeergarden.com","http://s3-media4.fl.yelpcdn.com/bphoto/hrZDwvCatVW_Y5ozP637Xw/ms.jpg","Bars,bars,American (New),newamerican"
"Crown & Anchor","247 Commercial St, Provincetown, MA 02657","5084871430","onlyatthecrown.com","http://s3-media1.fl.yelpcdn.com/bphoto/KjxJiRihwQBbPx6OC_UhLA/ms.jpg","Gay Bars,gaybars"
"Joon Bar & Kitchen","133 Commercial St, Provincetown, MA 02657","5084139336","joonbar.com","http://s3-media3.fl.yelpcdn.com/bphoto/1ljRY-P3brvbItS1916g7A/ms.jpg","Wine Bars,wine_bars,American (New),newamerican"
"Porchside Bar","9 Carver St., Provincetown, MA 02657","5084870688","","http://s3-media3.fl.yelpcdn.com/bphoto/jgDJEaZ4axub7U-MdoW7Aw/ms.jpg","Bars,bars"
"Beacon","23 W Rd, Orleans, MA 02653","5082552211","beaconroom.com",,"American (New),newamerican,Seafood,seafood"
"Ryan Laundry's Showgirl's","247 Commercial Street, Provincetown, MA 02657","5084871430","","http://s3-media3.fl.yelpcdn.com/bphoto/3WlErbQPp3Wz6VkbALVqfg/ms.jpg","Comedy Clubs,comedyclubs,Local Flavor,localflavor"
"Bob's Sub & Cone","814 State Hwy Rte 6, South Wellfleet, MA 02667","5083496181","bobssubandcone.com","http://s3-media4.fl.yelpcdn.com/bphoto/gtX0yyzwLqmsRwSLfIO1Jg/ms.jpg","Ice Cream & Frozen Yogurt,icecream,Sandwiches,sandwiches"
"Bocce Italian Grill","842 US Rt 6, South Wellfleet, MA 02667","5083492688","bocceitaliangrill.com","http://s3-media4.fl.yelpcdn.com/bphoto/58jpUxT92nkoQqmirWvy1g/ms.jpg","Italian,italian"
"Rise and Shine Cafe","380 Main St, Dennis Port, MA 02639","5083941114","",,"Delis,delis,Sandwiches,sandwiches"
"Van Rensselaer's","1019 Rte 6, South Wellfleet, MA 02663","5083492127","vanrensselaers.com","http://s3-media4.fl.yelpcdn.com/bphoto/lRqtr1pdo3s0pvRPkDmkVw/ms.jpg","Seafood,seafood,Breakfast & Brunch,breakfast_brunch"
"Classical Billiards","657 Route 28, West Yarmouth, MA 02673","5087715872","",,"Pool Halls,poolhalls"
"Arnold's Restaurant","3580 State Hwy, Eastham, MA 02642","5082552575","arnoldsrestaurant.com","http://s3-media1.fl.yelpcdn.com/bphoto/WUv9O-l1B3xfmu1Ab2zYOg/ms.jpg","Seafood,seafood,Mini Golf,mini_golf,Ice Cream & Frozen Yogurt,icecream"
"Lorraine's Restaurant","338 Commercial St, Provincetown, MA 02657","5084876074","","http://s3-media2.fl.yelpcdn.com/bphoto/YPSz44V_s45WsguQq3fWGw/ms.jpg","American (New),newamerican,Cafes,cafes"
"Longfellow's Pub","1-A Old Townhouse Plz, South Yarmouth, MA 02664","5083943663","","http://s3-media3.fl.yelpcdn.com/bphoto/0liO4pQ3mNkQ3HEp3J2tEw/ms.jpg","Pubs,pubs,American (Traditional),tradamerican"
"Central House at the Crown","247 Commercial St, Provincetown, MA 02657","5084871430","onlyatthecrown.com/centralhou…","http://s3-media2.fl.yelpcdn.com/bphoto/XPsw8KNJ1Sib899al51ClA/ms.jpg","American (Traditional),tradamerican"
"Land Ho Restaurant","Rte 6A & Main St, Orleans, MA 02653","5082555165","land-ho.com","http://s3-media2.fl.yelpcdn.com/bphoto/vZph5NYI_jw82QKy_EJYmQ/ms.jpg","Nightlife,nightlife,Restaurants,restaurants"
"Oliver's Restaurant & Planck's Tavern","960 Main St Rt 6A, Yarmouth Port, MA 02675","5083626062","oliverscapecod.com","http://s3-media3.fl.yelpcdn.com/bphoto/sHJgK1k4HZzzKqdc6bPIVw/ms.jpg","Seafood,seafood,Bars,bars"
"Pied Piper Bar & Restaurant","193 Commercial St, Provincetown, MA 02657","5084871527","","http://s3-media3.fl.yelpcdn.com/bphoto/prC0JrTPyH_p-5iXIJ0gag/ms.jpg","Nightlife,nightlife,Restaurants,restaurants"
"Chach","73 Shank Painter Rd, Provincetown, MA 02657","5084871530","","http://s3-media1.fl.yelpcdn.com/bphoto/ukR6qsbwy1GHFLrQFXgxOA/ms.jpg","Diners,diners,Breakfast & Brunch,breakfast_brunch"
"Messina","4100 State Highway Rt. 6, Eastham, MA 02642","5082470360","",,"Italian,italian"
"Buncey's Pizza & Sports Cafe","894 Route 134, South Dennis, MA 02660","5083851413","bunceys.com","http://s3-media1.fl.yelpcdn.com/bphoto/MBGyzx4xYjPCzinz7tSTaw/ms.jpg","Pizza,pizza"
"Laura & Tony's Kitchen","5960 US 6, Eastham, MA 02642","5082217151","","http://s3-media2.fl.yelpcdn.com/bphoto/wap9NAUcmh24rTdqKORfHQ/ms.jpg","Breakfast & Brunch,breakfast_brunch,Bars,bars"
"The Yardarm","48 S Orleans Rd, Orleans, MA 02653","5082554840","","http://s3-media3.fl.yelpcdn.com/bphoto/imj0bFqPw1IHuuOU5bKaTw/ms.jpg","Seafood,seafood,American (Traditional),tradamerican,Pubs,pubs"
"Fanizzi's","539 Commercial St, Provincetown, MA 02657","5084871964","fanizzisrestaurant.com","http://s3-media4.fl.yelpcdn.com/bphoto/RrW0k2uDy8plQf5yasvaDQ/ms.jpg","American (New),newamerican,Seafood,seafood"
"Harry's At the Depot","477 Yarmouth Rd, Hyannis Port, MA 02601","5088274526","harrysatthedepot.com","http://s3-media3.fl.yelpcdn.com/bphoto/J1AYg488JT29oT3CfGjMWQ/ms.jpg","Cajun/Creole,cajun,Music Venues,musicvenues,Jazz & Blues,jazzandblues"
"Savory & Sweet Escape","316 Rt 6, Truro, MA 02666","5084872225","savorysweettruro.com","http://s3-media3.fl.yelpcdn.com/bphoto/wvLbB81O_hndDuFxMstZHg/ms.jpg","Pizza,pizza,Burgers,burgers,Coffee & Tea,coffee"
"Cooke's Seafood","1 S Orleans Rd, Orleans, MA 02653","5082555518","cookesseafood.com","http://s3-media3.fl.yelpcdn.com/bphoto/_arKG2D6fkV-vYphMM6C1g/ms.jpg","Seafood,seafood"
"Provincetown Portuguese Bakery","299 Commercial St, Provincetown, MA 02657","5084871803","","http://s3-media4.fl.yelpcdn.com/bphoto/_FJUHBakwu5ova1ZVjnOkg/ms.jpg","Bakeries,bakeries,Portuguese,portuguese,Sandwiches,sandwiches"
"John Dough","258 Commercial St, Provincetown, MA 02657","5084877776","","http://s3-media4.fl.yelpcdn.com/bphoto/qILC8KaQFVH2OIHqZn76PQ/ms.jpg","Pizza,pizza"
"Barbyann's Restaurant","120 Airport Rd, Hyannis, MA 02601","5087759795","barbyanns.com","http://s3-media3.fl.yelpcdn.com/bphoto/vqbq3YeeTyh9nGrx6RjTTw/ms.jpg","Seafood,seafood,Steakhouses,steak"
"Sundancer's Cape Cod","116 Main Street Route 28, West Dennis, MA 02670","5083941600","sundancerscapecod.com","http://s3-media3.fl.yelpcdn.com/bphoto/lJkbPwG90wpSyCfuqCcwTA/ms.jpg","Restaurants,restaurants,Bars,bars"
"Ditalia's Italian Restaurant","955 Rt 6, Wellfleet, MA 02667","5083492213","ditalias.com","http://s3-media2.fl.yelpcdn.com/bphoto/0wgE4uFwYQFQJhAv-1z4Kw/ms.jpg","Italian,italian"
"Pisces","2653 Main St, Chatham, MA 02659","5084324600","piscesofchatham.com","http://s3-media1.fl.yelpcdn.com/bphoto/nEUl1Kck4_GsTmIlT1zIJQ/ms.jpg","American (New),newamerican"
"Truro Vineyards of Cape Cod","11 Shore Rd, North Truro, MA 02652","5084876200","trurovineyardsofcapecod.com","http://s3-media2.fl.yelpcdn.com/bphoto/vhKO7dBsElUNPVRQDUQlWw/ms.jpg","Wineries,wineries"
"George's Pizza","275 Commercial St, Provincetown, MA 02657","5084873744","","http://s3-media3.fl.yelpcdn.com/bphoto/e7oY6-0JfvYzit0gTBnHIQ/ms.jpg","Pizza,pizza"
"The Barnstable Restaurant and Tavern","3176 Main St, Barnstable, MA 02630","5083622355","barnstablerestaurant.com","http://s3-media3.fl.yelpcdn.com/bphoto/WJ3qrvH111gOeDFoHu-9Tw/ms.jpg","American (New),newamerican"
"Embargo","453 Main St, Hyannis, MA 02601","5087719700","embargorestaurant.com","http://s3-media3.fl.yelpcdn.com/bphoto/QsYWxKkvLqNWliFlCtbKBg/ms.jpg","Tapas Bars,tapas,Bars,bars,Sushi Bars,sushi"
"Johnny Thai Bistro","149 Commercial St, Provincetown, MA 02657","5084872879","","http://s3-media1.fl.yelpcdn.com/bphoto/XvkVX91okhZB9H-VwkMBwA/ms.jpg","Bars,bars,Thai,thai"
"Naked Oyster","410 Main St, Hyannis, MA 02601","5087786500","nakedoyster.com","http://s3-media1.fl.yelpcdn.com/bphoto/pqYd2I05129pdnrOM3ux9Q/ms.jpg","American (New),newamerican,Seafood,seafood,Bars,bars"
"Daggetts Liquors","1071 Route 28,, South Yarmouth, MA 02664","5083986688","daggettsliquors.com","http://s3-media2.fl.yelpcdn.com/bphoto/FzAZz80Turqt42zXf-HL4A/ms.jpg","Beer, Wine & Spirits,beer_and_wine,Breweries,breweries,Cocktail Bars,cocktailbars"
"Mahoney's Atlantic","28 Main St, Orleans, MA 02653","5082555505","mahoneysatlantic.com","http://s3-media3.fl.yelpcdn.com/bphoto/CL0A0O1J2eRExwEJwo5RbQ/ms.jpg","American (New),newamerican"
"Ocean House Restaurant","425 Old Wharf Rd, Dennis Port, MA 02639","5083940700","oceanhouserestaurant.com","http://s3-media1.fl.yelpcdn.com/bphoto/TM7IdzmmdNmLFctz7oTFpA/ms.jpg","American (New),newamerican"
"Fresh Ketch","462 Main St, Hyannis, MA 02601","5087718585","fresh-ketch.com","http://s3-media2.fl.yelpcdn.com/bphoto/yAwBm84Jt1XOUfLsby_Phw/ms.jpg","Seafood,seafood,Karaoke,karaoke,American (Traditional),tradamerican"
"The Riverway Lobster House","1328 Rt 28, South Yarmouth, MA 02664","5083982172","riverwayrestaurant.com","http://s3-media1.fl.yelpcdn.com/bphoto/FxelIdWZpT_NOEW2g2jIzg/ms.jpg","Seafood,seafood"
"Bistrot De Soleil","350 Stevens St, Barnstable, MA 02601","5085349308","bistrotdesoleil.com","http://s3-media4.fl.yelpcdn.com/bphoto/VXuVTH9B_FN4zq6PE7ALUA/ms.jpg","Bars,bars,American (New),newamerican"
"Mac's Seafood Market & Grill","265 Commercial St, Wellfleet, MA 02667","5083490404","macsseafood.com","http://s3-media3.fl.yelpcdn.com/bphoto/ae6vkTANTtZ7RYMS0d085Q/ms.jpg","Seafood Markets,seafoodmarkets,Seafood,seafood"
"Parker's Shipwreck Tavern","4940 State Highway, Eastham, MA 02642","5082559913","parkersshipwrecktavern.com",,"Restaurants,restaurants"
"Laura & Tony's Kitchen","5960 Rt 6, North Eastham, MA 02651","5082406096","","http://s3-media3.fl.yelpcdn.com/bphoto/EeTFrddnIgK3GN-2hpm4nA/ms.jpg","American (New),newamerican,Breakfast & Brunch,breakfast_brunch"
"Front Street Restaurant","230 Commercial St, Provincetown, MA 02657","5084879715","frontstreetrestaurant.com","http://s3-media4.fl.yelpcdn.com/bphoto/UIFk2fE8mjB2zSufZLCQmA/ms.jpg","Italian,italian"
"Red Jacket Beach Resort","1 South Shore Dr, South Yarmouth, MA 02664","5083986941","","http://s3-media3.fl.yelpcdn.com/bphoto/0aYp3_zDN-K5zeHwsVPTKw/ms.jpg","Hotels,hotels,American (Traditional),tradamerican"
"Acapulcos","416 Main St, W Yarmouth, MA 02673","5087716531","acapulcos.net","http://s3-media4.fl.yelpcdn.com/bphoto/Eu0xLxhwvf0aCk6Ysqm-wg/ms.jpg","Mexican,mexican"
"The Compound Bar and Grille","644 Main St, Barnstable, MA 02601","5087751900","thecompoundbarandgrille.com","http://s3-media2.fl.yelpcdn.com/bphoto/DRT1rSNjhvsByhSTaHCN_A/ms.jpg","American (Traditional),tradamerican"
"Pate's Restaurant","1260 Main St, Chatham, MA 02633","5089459777","patesrestaurant.com","http://s3-media3.fl.yelpcdn.com/bphoto/HYx_kvomWk1fxQSOrCqnng/ms.jpg","Seafood,seafood"
